frame_id,drone_lat,drone_lon,altitude,person_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,est_lat,est_lon,conf
148,50.294241,18.673294,15.0,1,810,621,892,700,50.294227,18.673275,0.8024
149,50.294241,18.673294,15.0,1,810,624,894,702,50.294227,18.673275,0.8258
150,50.294265,18.673292,15.0,1,810,626,894,704,50.294251,18.673273,0.8421
151,50.294265,18.673292,15.0,1,810,627,896,707,50.294251,18.673274,0.8472
152,50.294265,18.673292,15.0,1,812,632,896,709,50.29425,18.673274,0.841
153,50.294265,18.673292,15.0,1,812,635,896,712,50.29425,18.673274,0.8233
154,50.294265,18.673292,15.0,1,812,635,896,715,50.29425,18.673274,0.829
155,50.294265,18.673292,15.0,1,812,640,896,720,50.294249,18.673274,0.8271
156,50.294265,18.673292,15.0,1,812,642,898,720,50.294249,18.673274,0.8398
157,50.294265,18.673292,15.0,1,812,644,900,724,50.294249,18.673274,0.8435
158,50.294265,18.673292,15.0,1,812,646,900,726,50.294248,18.673274,0.8381
159,50.294265,18.673292,15.0,1,814,651,900,729,50.294248,18.673274,0.8335
160,50.294265,18.673292,15.0,1,814,653,902,729,50.294248,18.673274,0.8304
161,50.294265,18.673292,15.0,1,814,654,900,732,50.294248,18.673274,0.8385
162,50.294265,18.673292,15.0,1,816,657,900,735,50.294247,18.673274,0.8314
163,50.294265,18.673292,15.0,1,816,660,902,739,50.294247,18.673275,0.825
164,50.294265,18.673292,15.0,1,816,661,902,741,50.294247,18.673275,0.8361
165,50.294265,18.673292,15.0,1,818,663,904,743,50.294246,18.673275,0.8424
166,50.294265,18.673292,15.0,1,818,664,904,744,50.294246,18.673275,0.8259
167,50.294265,18.673292,15.0,1,820,669,904,749,50.294246,18.673275,0.8295
168,50.294265,18.673292,15.0,1,820,671,906,750,50.294246,18.673275,0.8161
169,50.294265,18.673292,15.0,1,820,672,908,753,50.294245,18.673276,0.8313
170,50.294265,18.673292,15.0,1,822,675,908,754,50.294245,18.673276,0.8374
171,50.294265,18.673292,15.0,1,824,677,908,757,50.294245,18.673276,0.8212
172,50.294265,18.673292,15.0,1,826,678,910,758,50.294245,18.673276,0.8361
173,50.294265,18.673292,15.0,1,826,680,912,760,50.294245,18.673276,0.8544
174,50.294265,18.673292,15.0,1,828,682,912,762,50.294244,18.673277,0.858
175,50.294265,18.673292,15.0,1,828,685,914,763,50.294244,18.673277,0.8297
176,50.294265,18.673292,15.0,1,830,687,916,766,50.294244,18.673277,0.8082
177,50.294265,18.673292,15.0,1,830,689,918,766,50.294244,18.673277,0.8015
178,50.294265,18.673292,15.0,1,832,690,916,769,50.294243,18.673277,0.8085
179,50.294265,18.673292,15.0,1,834,694,918,771,50.294243,18.673278,0.8021
180,50.294297,18.673281,15.0,1,834,695,920,772,50.294275,18.673267,0.8196
181,50.294297,18.673281,15.0,1,836,696,922,775,50.294275,18.673267,0.8222
182,50.294297,18.673281,15.0,1,836,697,922,777,50.294275,18.673267,0.8227
183,50.294297,18.673281,15.0,1,836,699,922,779,50.294274,18.673267,0.835
184,50.294297,18.673281,15.0,1,838,702,922,780,50.294274,18.673267,0.8156
185,50.294297,18.673281,15.0,1,838,704,924,783,50.294274,18.673267,0.8309
186,50.294297,18.673281,15.0,1,838,706,926,784,50.294274,18.673268,0.8139
